frame,x_coordinate,y_coordinate,z_coordinate
271,[-1.17530621],[-4.14284458],[-95.6371617]
272,[1.53781356],[-1.58875757],[-8.36755285]
272,[-73.86456464],[194.45306176],[3135.52536342]
273,[16.3961205],[-22.80523965],[-181.0032054]
273,[-0.97044584],[-4.56771909],[-97.97199703]
274,[-12.09366725],[19.00789766],[150.77543563]
274,[-0.96595138],[-5.07238355],[-98.95737542]
275,[-12.36681823],[19.73486132],[154.77480299]
275,[-0.9936436],[-5.46160176],[-100.34599961]
276,[-12.82605367],[20.8228118],[161.80780266]
276,[-1.00498152],[-5.93010804],[-102.64723301]
277,[-13.32614786],[21.54462554],[168.03441617]
277,[-0.89898317],[-6.33072305],[-105.13146597]
278,[-13.64605279],[21.98635679],[171.84799266]
278,[-0.91185166],[-6.43577438],[-104.96035982]
279,[-13.61860033],[22.12436637],[173.31297466]
279,[-0.93421864],[-6.58902262],[-105.906791]
280,[-13.551708],[22.24309998],[174.68742202]
280,[-0.95405413],[-6.76053464],[-106.82852613]
281,[-13.55150919],[22.24238965],[174.68029257]
281,[-0.97428873],[-6.76605326],[-105.91474407]
282,[-13.18500317],[21.68225058],[170.03380133]
282,[-0.73648705],[-6.87371698],[-107.04165852]
283,[-13.17022947],[21.59149129],[169.12239836]
283,[-0.48058462],[-6.99798237],[-107.95845613]
284,[-13.11446878],[21.6265698],[169.35176036]
284,[-0.43359787],[-7.13201207],[-107.76515489]
285,[-12.60573455],[20.92523417],[164.05328605]
285,[-0.26031059],[-7.11651867],[-109.42616973]
286,[-12.27818299],[20.35088603],[159.50825291]
286,[-0.07758683],[-7.226237],[-110.40143828]
287,[-12.23929216],[20.26600982],[158.97792161]
287,[0.21505947],[-7.27979913],[-112.20161112]
288,[-12.17869677],[20.33436146],[158.68386133]
288,[0.64906561],[-7.31560914],[-115.3146162]
289,[-12.14382187],[20.48043568],[158.8245933]
289,[1.10996014],[-7.32023394],[-118.19862962]
290,[-12.06164703],[20.59833363],[158.31028283]
290,[1.45093192],[-7.22258409],[-116.85316696]
291,[-11.92274332],[20.6556694],[157.4371424]
291,[1.87737385],[-7.40751169],[-118.94453252]
292,[-11.86931609],[20.68020609],[157.14749189]
292,[2.38892037],[-7.64264876],[-122.73374815]
293,[-11.76130069],[20.66550828],[156.49559825]
293,[2.90642466],[-7.66000458],[-123.88181143]
294,[-11.57286633],[20.70964747],[155.2095659]
294,[3.03391798],[-7.72401607],[-125.33714488]
295,[-11.57247834],[20.84995741],[155.2083211]
295,[3.09396568],[-7.65660043],[-124.78146097]
296,[-11.62062015],[21.03987896],[155.37221856]
296,[3.27125638],[-7.70469595],[-126.05446363]
297,[-11.12751452],[20.51541923],[150.3205753]
297,[3.55377522],[-7.80950436],[-126.64556431]
298,[-11.26751812],[20.85544167],[152.27475981]
298,[3.8813472],[-7.99526692],[-128.74155918]
299,[-11.38240208],[21.12938937],[153.3860145]
299,[4.34290622],[-8.16045536],[-131.16051126]
300,[-11.27637317],[21.07628139],[152.315032]
300,[4.64397092],[-8.37312742],[-132.39377974]
301,[-11.32161221],[21.48513507],[154.71561459]
301,[5.0596306],[-8.64777906],[-135.08348813]
302,[-4.06551959],[-3.02499777],[7.016247]
302,[-4.06551959],[-3.02499777],[7.016247]
303,[-11.29139365],[21.43033923],[154.26149927]
303,[4.52378968],[-7.30588477],[-112.56779651]
304,[-11.33046839],[21.67090691],[155.0781078]
304,[5.24295444],[-7.469528],[-115.5830372]
305,[-11.06228189],[21.25516191],[151.74262474]
305,[5.4561886],[-7.61239213],[-116.59506706]
306,[-11.17530867],[21.54114923],[153.54081256]
306,[5.69795963],[-7.83966885],[-118.14053926]
307,[-11.17682044],[21.54967981],[153.5895365]
307,[5.86539248],[-8.00077106],[-120.01111015]
308,[-11.16008008],[21.46725656],[153.08892633]
308,[5.89935869],[-8.04122567],[-120.53032153]
309,[-11.16361048],[21.47329389],[153.13019503]
309,[6.15331363],[-8.31615092],[-123.22654387]
310,[-11.12223909],[21.37368598],[152.54121814]
310,[6.45069773],[-8.46110623],[-124.94836653]
311,[-11.11456382],[21.31168581],[152.4490461]
311,[6.57970804],[-8.48343424],[-125.85920533]
312,[-11.10374106],[21.23898115],[152.36640984]
312,[6.6669568],[-8.53285446],[-126.82725776]
313,[-11.1003237],[21.23264516],[152.32312915]
313,[6.80011829],[-8.66894928],[-128.13552618]
314,[-11.07994902],[21.17289609],[152.16357933]
314,[6.98996554],[-8.41975761],[-128.33343185]
315,[-11.12485835],[21.38103234],[153.82844354]
315,[6.89575006],[-8.25384785],[-127.98971854]
316,[-10.963814],[21.10344474],[152.43445896]
316,[7.02239604],[-8.14126875],[-128.34504893]
317,[-10.96296164],[21.10203033],[152.4240399]
317,[7.37516178],[-8.29788025],[-130.75797385]
318,[-10.88967834],[21.2826831],[153.67051436]
318,[7.60543516],[-8.37085913],[-132.49956136]
319,[-10.88600882],[21.27989498],[153.68042436]
319,[7.73023459],[-8.52094973],[-133.90407895]
320,[-10.7727533],[21.2243112],[153.21998301]
320,[7.8307962],[-8.66132541],[-135.61548458]
321,[-10.72406016],[21.35099024],[154.16801819]
321,[7.91676394],[-8.85811218],[-137.48669945]
322,[-10.63671628],[21.20016634],[153.15968114]
322,[8.24229873],[-9.11761964],[-139.58319962]
323,[-10.37602673],[20.87698735],[150.98327464]
323,[8.58717716],[-9.4421022],[-141.78798447]
324,[-10.50082572],[21.17291828],[152.91273331]
324,[8.9600454],[-9.79895335],[-144.30909611]
325,[-10.39087568],[21.34433338],[153.28621915]
325,[9.41249268],[-10.16195298],[-148.04942695]
326,[-10.1180217],[21.17329668],[151.29092661]
326,[9.79977016],[-10.31120228],[-150.26652988]
327,[-9.98395849],[21.20866821],[150.06200006]
327,[10.22159543],[-10.49398877],[-152.84187115]
328,[-10.05996052],[21.42301611],[151.04863075]
328,[10.48450831],[-10.64791945],[-154.97243998]
329,[-10.12093672],[21.61246029],[151.8413241]
329,[10.98622289],[-11.10075184],[-159.19779745]
330,[-10.13253606],[21.69923364],[152.02966042]
330,[11.03204276],[-11.04306192],[-159.38739805]
331,[-10.16287413],[21.76112145],[152.42780442]
331,[10.73660839],[-10.74869758],[-158.25420558]
332,[-10.22614116],[22.03882215],[153.83480683]
332,[10.79580817],[-10.65764511],[-159.11748485]
333,[-10.1930752],[21.96917642],[153.37794542]
333,[10.66855479],[-10.3708547],[-158.92311908]
334,[-10.27693248],[22.18144083],[154.37688269]
334,[10.44994523],[-10.07546793],[-158.11529854]
335,[-10.32622949],[22.32334126],[154.92974376]
335,[10.20266101],[-9.77214931],[-157.05739997]
336,[-10.38101452],[22.31965048],[154.41263684]
336,[10.02256098],[-9.58823853],[-156.1470598]
337,[-10.39770415],[22.35193849],[154.6687278]
337,[10.04804738],[-9.45426969],[-156.43899724]
338,[-10.41330088],[22.38169242],[154.89166458]
338,[10.08099585],[-9.34365636],[-156.92264284]
339,[-10.41322453],[22.38133536],[154.89028744]
339,[10.08196865],[-9.36025161],[-157.02969706]
340,[-10.44421468],[22.44849219],[155.31698236]
340,[10.17257742],[-9.60738442],[-158.51574476]
341,[-10.44434926],[22.44870465],[155.31885258]
341,[10.45741648],[-10.00252814],[-159.62260637]
342,[-10.40736313],[22.35604706],[154.74118198]
342,[10.86031006],[-10.43708727],[-163.51066499]
343,[-10.38096535],[22.31032625],[154.45047226]
343,[11.34197289],[-10.99963507],[-167.35667377]
344,[-10.33855657],[22.24801955],[154.13366122]
344,[11.73458525],[-11.58147765],[-171.17031317]
345,[-10.28405973],[22.16876459],[153.71772032]
345,[12.185487],[-12.20194154],[-175.46288207]
346,[-10.24974384],[22.09620507],[153.26428295]
346,[12.74858515],[-12.71395872],[-180.01464219]
347,[-10.25007566],[22.09728933],[153.2721607]
347,[12.97326509],[-12.84117687],[-181.23810397]
348,[-10.22003639],[21.96626512],[152.491513]
348,[12.95583388],[-12.82611043],[-180.99643976]
349,[-10.2202436],[21.96662585],[152.49421984]
349,[13.02168525],[-12.88711595],[-181.76048061]
350,[-10.23604467],[22.03257116],[152.88887894]
350,[12.9878419],[-12.70710153],[-180.82615666]
351,[-10.28069594],[22.12307958],[153.44883509]
351,[12.90464049],[-12.32563619],[-180.05278653]
352,[-10.30427845],[22.08710315],[153.01702862]
352,[12.80255642],[-11.93955308],[-180.42285513]
353,[-10.3164626],[22.04795073],[152.5188927]
353,[12.51491687],[-11.40163635],[-178.33386547]
354,[-10.30750184],[22.01637395],[152.32935197]
354,[12.57300556],[-11.35033532],[-180.29383359]
355,[-10.2833137],[21.95943734],[151.96541005]
355,[12.55830703],[-11.16612525],[-180.73013449]
356,[-10.3606915],[22.12869105],[153.02588272]
356,[12.61688385],[-11.14599272],[-181.23702259]
357,[-10.36180046],[22.13205765],[153.04831247]
357,[12.56476195],[-11.06079908],[-180.10022979]
358,[-10.34022887],[22.1352679],[153.04646711]
358,[12.91033209],[-11.25396293],[-181.74615715]
359,[-10.35042787],[22.12353916],[152.98596104]
359,[13.11632531],[-11.21047691],[-181.13921375]
360,[-10.38372245],[22.18680119],[153.37112099]
360,[13.09907004],[-11.17719155],[-180.53365355]
361,[-10.38662698],[22.19575013],[153.43221075]
361,[13.45935737],[-11.34671507],[-183.51482581]
362,[-10.36327827],[22.06496338],[152.66249444]
362,[13.07200849],[-10.9704605],[-178.08216008]
363,[-10.57015457],[22.28237561],[153.73352497]
363,[12.14429871],[-10.3713716],[-169.12269669]
364,[-10.67422187],[22.37985108],[153.85110462]
364,[12.08957227],[-10.14976766],[-167.75023781]
365,[-10.68515989],[22.43468587],[154.03309832]
365,[12.12388882],[-9.87987144],[-167.49963771]
366,[-10.65744035],[22.49206494],[153.78536611]
366,[12.05900814],[-9.67289961],[-167.2986129]
367,[-10.55918996],[22.44223399],[152.84652007]
367,[11.90444764],[-9.29588609],[-165.67369411]
368,[-10.63983082],[22.54673981],[153.13282805]
368,[12.0013542],[-9.2985522],[-167.80710847]
369,[-10.6814026],[22.58583328],[152.97147019]
369,[12.10877211],[-9.27908525],[-170.10913652]
370,[-10.6558162],[22.53468999],[152.63606697]
370,[12.17664704],[-9.30112027],[-171.16171016]
371,[-10.63931184],[22.47006743],[152.20770009]
371,[11.80888925],[-9.30910198],[-169.01367668]
372,[-10.46543246],[22.11152085],[150.05004326]
372,[11.36401659],[-9.43211864],[-166.208256]
373,[-10.37981532],[21.93962361],[149.02185156]
373,[11.28096863],[-9.95932315],[-167.37277404]
374,[-10.48716373],[21.71343249],[148.48036776]
374,[10.94538616],[-10.37961383],[-165.49701672]
375,[-10.49209144],[21.33363482],[146.83463094]
375,[10.59065819],[-10.74797295],[-163.1875353]
376,[-10.71753298],[21.11997516],[146.64807023]
376,[9.89943872],[-11.11373028],[-158.65086866]
377,[-10.93045926],[20.91902708],[146.56615496]
377,[9.15227975],[-11.40530645],[-153.86670574]
378,[-11.10338591],[20.58853386],[145.21098762]
378,[8.05143013],[-11.03973947],[-143.59519809]
379,[0.13638887],[0.23234058],[8.58427556]
379,[7.30218862],[-10.90805383],[-137.42037031]
380,[-11.41191999],[20.27339165],[143.97550567]
380,[6.42197543],[-10.52693557],[-131.41671952]
381,[-11.64349149],[20.49085378],[145.15414324]
381,[5.62658199],[-10.18387822],[-126.5962851]
382,[-4.06551959],[-3.02499777],[7.016247]
382,[-4.06551959],[-3.02499777],[7.016247]
383,[-9.70744569],[16.85858323],[120.62845765]
383,[7.05742577],[-13.47434783],[-172.30192763]
384,[-10.15840832],[17.43838362],[124.49558946]
384,[5.20607854],[-13.077778],[-168.24133179]
385,[-10.27626156],[17.71600198],[125.93784773]
385,[4.28540057],[-12.7153443],[-165.78072926]
386,[-10.33146235],[17.92537274],[126.84380784]
386,[3.36748893],[-12.42325273],[-162.28153871]
387,[-10.33926728],[17.94801768],[126.96586222]
387,[2.63770095],[-12.15237404],[-158.47034291]
388,[0.04297452],[0.1758066],[8.56833363]
388,[1.95214386],[-11.95845507],[-154.76760379]
389,[-10.4395761],[17.89594887],[127.09399976]
389,[1.38505789],[-11.72017904],[-151.41445033]
390,[-10.47137584],[17.7919239],[126.93124771]
390,[0.90085168],[-11.62175398],[-149.74359684]
391,[-10.60064353],[17.7112391],[127.05981628]
391,[0.72285213],[-11.28398388],[-147.55774638]
392,[-0.19927921],[0.01797741],[8.56290874]
392,[0.59863484],[-10.98549734],[-145.91774672]
393,[-10.47790446],[16.970456],[123.38908519]
393,[0.60060778],[-10.93175485],[-145.50015488]
394,[-10.75139567],[17.09478615],[125.25830974]
394,[0.60967867],[-10.74972846],[-143.67095104]
395,[-10.90981956],[16.97510515],[124.88072881]
395,[0.65258386],[-10.69314866],[-143.14580709]
396,[-11.35185982],[17.41531275],[128.37816191]
396,[0.62987929],[-10.81517861],[-142.13878968]
397,[-11.61889807],[17.42839224],[128.88427516]
397,[0.61456733],[-10.917251],[-140.76114588]
398,[-11.87993169],[17.4495965],[129.45337062]
398,[0.60690384],[-10.85326556],[-139.53207219]
399,[-12.05828918],[17.42375299],[129.61098314]
399,[0.60641282],[-10.80845269],[-138.50646039]
400,[-12.14318762],[17.4476018],[129.63821515]
400,[0.42754953],[-10.69095528],[-137.16401408]
401,[-12.26870342],[17.34522505],[129.08817431]
401,[0.22296097],[-10.66403832],[-136.54703362]
402,[-12.43893215],[17.4485916],[129.89264716]
402,[-0.02179506],[-10.82181426],[-136.82561178]
403,[-12.75779252],[17.69759846],[131.79037683]
403,[-0.34219681],[-11.09034708],[-136.39646939]
404,[-12.80040772],[17.73288658],[131.88521708]
404,[-0.60063233],[-11.21211389],[-136.57378669]
405,[-12.86728476],[17.54732538],[131.14171929]
405,[-0.86928764],[-11.31526366],[-136.31121734]
406,[-12.79881648],[17.30726782],[129.9324089]
406,[-1.24331639],[-11.14742478],[-134.14339472]
407,[-13.16824764],[17.67843834],[132.58488661]
407,[-1.54449933],[-11.13373931],[-132.484379]
408,[-13.26230407],[17.74312728],[133.10053309]
408,[-1.87066519],[-11.29697921],[-132.52154855]
409,[-13.3087571],[17.76407364],[133.28586719]
409,[-2.20435163],[-11.3416834],[-131.67561941]
410,[-13.31918358],[17.77550627],[133.37520523]
410,[-2.50152112],[-11.16951906],[-129.78688939]
411,[-13.29070591],[17.64447474],[132.65720269]
411,[-2.76870754],[-11.27161597],[-129.98441438]
412,[-13.29151034],[17.55745992],[132.26652102]
412,[-3.16970408],[-11.40577591],[-129.87536865]
413,[-13.29732183],[17.45909168],[131.85006029]
413,[-3.57069734],[-11.59007007],[-128.49972389]
414,[-13.29567742],[17.43859001],[131.68287937]
414,[-3.94832319],[-11.72428293],[-125.90598844]
415,[-13.2442816],[17.34744083],[131.10962936]
415,[-4.33301642],[-12.01071425],[-125.12695893]
416,[-13.50939994],[17.48620214],[133.03610224]
416,[4.90127563],[11.975782],[125.6933601]
417,[-0.15828325],[0.05496054],[8.56432076]
417,[-5.00935732],[-11.70634206],[-120.3615792]
418,[-0.0434826],[0.14412972],[8.58232981]
418,[-5.2243202],[-11.60376101],[-117.41676155]
419,[-0.08361367],[0.09905929],[8.55927973]
419,[-5.40194637],[-11.33727083],[-112.75954213]
420,[0.13188303],[0.31841149],[8.55572275]
420,[-5.52440649],[-11.18167946],[-110.14394707]
421,[-0.12535512],[0.06101368],[8.56200172]
421,[0.59047036],[-0.33632517],[-8.53697884]
422,[-13.22771282],[17.49865965],[133.78266744]
422,[-5.70440728],[-11.20050466],[-108.27538869]
423,[-13.0519225],[17.44914949],[133.22514894]
423,[0.59194988],[-0.37414573],[-8.57978576]
424,[-13.16814592],[17.59970691],[134.50300336]
424,[-5.92897569],[-10.92651086],[-107.25815496]
425,[-18.04235402],[22.63012638],[166.59411634]
425,[-6.02852248],[-10.62107391],[-106.03824555]
426,[-0.1011944],[0.14426715],[8.58941885]
426,[6.50879206],[8.28717019],[97.05909849]
427,[-14.94991769],[17.95170585],[136.71134512]
427,[-6.60909569],[-8.41434812],[-97.19743405]
428,[-15.08203057],[17.9659574],[136.95937384]
428,[-6.61648862],[-8.3364587],[-96.68555963]
429,[-14.80890438],[17.58370008],[134.7713133]
429,[-6.66995614],[-8.0952616],[-95.84197942]
430,[-15.08943859],[17.84478886],[136.30041519]
430,[-6.70030904],[-8.07543749],[-94.39427219]
431,[-4.06551959],[-3.02499777],[7.016247]
431,[-4.06551959],[-3.02499777],[7.016247]
432,[-26.82224833],[31.2850443],[229.76982906]
432,[-8.88130336],[-8.6773291],[-107.20801446]
433,[-26.72647696],[31.14444253],[228.79180937]
433,[-9.16954337],[-8.71808838],[-107.06707248]
434,[-26.86155414],[31.40840061],[230.81222329]
434,[-9.25511813],[-8.72720713],[-107.08952167]
435,[-27.47571582],[32.16278284],[235.5505435]
435,[-9.23007721],[-8.80089266],[-106.59795452]
436,[-27.47451252],[32.16135716],[235.53998278]
436,[-9.23309159],[-8.88697138],[-106.60384384]
437,[-16.14645475],[20.00488912],[150.43684475]
437,[-9.14160388],[-8.83043321],[-107.9455303]
438,[-16.16471868],[20.01917167],[150.62372179]
438,[-8.96527466],[-8.61825227],[-107.87045428]
439,[-16.16655169],[20.02211894],[150.64366041]
439,[-9.1356355],[-8.55878585],[-107.88373962]
440,[-16.1039513],[19.93911549],[149.98267653]
440,[-9.43925816],[-8.51467344],[-107.53969487]
441,[-16.04737109],[19.86620094],[149.40928585]
441,[-9.52146437],[-8.54302168],[-105.41072159]
442,[-16.0471482],[19.86598703],[149.40741836]
442,[-9.67013672],[-8.56647492],[-106.08996467]
443,[-16.13162636],[19.93209215],[149.83755964]
443,[-9.69850877],[-8.73915461],[-105.73361275]
444,[-16.17135345],[19.97538418],[150.1449137]
444,[-9.90616689],[-8.72208234],[-105.29755671]
445,[-27.77478311],[32.37754861],[237.14528395]
445,[-10.0403131],[-8.73382729],[-104.3809489]
446,[-27.69974038],[32.29243642],[236.47382769]
446,[-10.04584492],[-8.81193274],[-101.74907336]
447,[-27.61472961],[32.19309154],[235.71728488]
447,[-10.10452297],[-9.08590198],[-101.3568817]
448,[-27.33985511],[31.7827169],[232.54155639]
448,[-10.31087859],[-9.2231354],[-101.52985907]
449,[-26.96268192],[31.27895629],[228.68319839]
449,[-10.02371721],[-9.04578403],[-95.91844802]
450,[-27.278856],[31.75908034],[231.69146108]
450,[-10.29229322],[-9.21146131],[-96.19648454]
451,[-27.29815384],[31.82758667],[231.63459676]
451,[-10.2599665],[-9.36357994],[-95.37934562]
452,[-27.28791884],[31.84933523],[231.75400673]
452,[-10.5133806],[-9.26912327],[-94.24106721]
453,[-27.36208204],[31.9635951],[232.52882604]
453,[-10.47387902],[-9.00121762],[-92.96642367]
454,[-27.03092404],[31.50506738],[229.63314965]
454,[-10.82541251],[-8.89047081],[-92.03144088]
455,[-26.67063676],[31.00748033],[226.46164811]
455,[-11.0494359],[-8.62911103],[-91.41101717]
456,[-27.57653681],[32.22795502],[234.20546776]
456,[-11.30536284],[-8.5879994],[-91.8756751]
457,[-27.56219935],[32.21084425],[234.0977029]
457,[-11.44498166],[-8.44407946],[-91.44342074]
458,[-27.61252191],[32.36485108],[235.25740676]
458,[-11.64953357],[-8.34252376],[-91.65205991]
459,[-27.68014403],[32.09841167],[233.23837374]
459,[-11.8306803],[-8.30275423],[-92.40637608]
460,[-27.36688021],[31.77556777],[231.23401377]
460,[-12.02454835],[-8.31421831],[-92.22224152]
461,[-26.96428434],[31.35974929],[228.57148836]
461,[-12.09549854],[-8.36083164],[-92.09497534]
462,[-26.9242225],[31.01449806],[225.92109291]
462,[-11.92343316],[-8.3446123],[-91.35025189]
463,[-26.96957378],[31.05327667],[226.20576736]
463,[-11.83125217],[-8.55749491],[-91.34432855]
464,[-27.3146054],[31.37202371],[228.64428971]
464,[-11.6862622],[-8.55698902],[-91.3619808]
465,[-27.21207887],[31.10942921],[226.6296613]
465,[-11.41996476],[-8.58126938],[-89.84394136]
466,[-27.44314361],[31.45557881],[229.37502565]
466,[-11.58803049],[-8.72118816],[-89.62233558]
467,[-27.44153961],[31.45619717],[229.3757178]
467,[-11.43922524],[-8.86795692],[-88.69054236]
468,[-27.61981042],[31.41572621],[228.88037486]
468,[-10.8846058],[-8.57841201],[-85.04294306]
469,[-27.84081494],[31.75605119],[231.54721295]
469,[-10.84818848],[-8.60307963],[-84.665938]
470,[-28.3527531],[32.19907556],[235.03630301]
470,[-11.00827371],[-8.78644794],[-83.3968233]
471,[-28.70089039],[32.48276378],[237.33248996]
471,[-11.00638778],[-8.79603359],[-82.72330416]
472,[-28.8011643],[32.59101024],[238.15363501]
472,[-11.02965086],[-8.69214823],[-83.29515133]
473,[-28.78921774],[32.12298163],[235.74707176]
473,[-11.2217085],[-8.67105108],[-84.25654484]
474,[-28.11456113],[31.00626268],[228.55333491]
474,[-11.32351303],[-8.57679646],[-83.67004717]
475,[-28.11193379],[31.00353951],[228.53197103]
475,[-11.39027849],[-8.57029822],[-82.92829938]
476,[-28.49421442],[31.2738855],[230.63601067]
476,[-11.51617432],[-8.51047208],[-82.3801137]
477,[-28.41974231],[31.1166403],[229.42779073]
477,[-11.53943844],[-8.52167922],[-82.64050097]
478,[-28.21490541],[30.60857619],[225.49781019]
478,[-11.62126177],[-8.52737933],[-83.11960701]
479,[-28.48980513],[30.85864503],[227.43762922]
479,[-11.73400317],[-8.47811774],[-82.60208169]
480,[-28.71714745],[31.06661424],[229.04102426]
480,[-11.90130259],[-8.48231039],[-82.55934309]
481,[-28.83950024],[31.03640575],[228.77945306]
481,[-11.92381782],[-8.40175083],[-81.87546428]
482,[-28.76994126],[30.83617961],[227.21748997]
482,[-11.94596779],[-8.32452237],[-81.21295752]
483,[-28.77213039],[30.70208745],[226.12934835]
483,[-11.95958069],[-8.26444263],[-80.42350545]
484,[-29.41865252],[31.20252512],[230.08503687]
484,[-12.06530796],[-8.24398546],[-79.85526786]
485,[-29.62729962],[31.30527463],[230.91583424]
485,[-12.09617801],[-8.27972954],[-79.16238615]
486,[-29.54662186],[31.16657701],[229.84767001]
486,[-12.0537462],[-8.21817587],[-78.34855767]
487,[-30.1536425],[31.66544654],[233.76014483]
487,[-12.07929848],[-8.23205595],[-77.90073157]
488,[-30.47879398],[31.89168391],[235.5835445]
488,[-12.17074277],[-8.27531408],[-77.85917315]
489,[-30.48549899],[31.90696641],[235.64917373]
489,[-12.17184281],[-8.28862145],[-77.12588795]
490,[-30.51129267],[31.93712044],[235.83556541]
490,[-12.1512419],[-8.29899857],[-76.29502374]
491,[-30.51141441],[31.93732367],[235.83669734]
491,[-12.16007163],[-8.33248641],[-76.03657893]
492,[-30.57318862],[31.99770032],[236.23803222]
492,[-12.08955437],[-8.3850905],[-75.41993935]
493,[-30.57318862],[31.99770032],[236.23803222]
493,[-12.08384907],[-8.41919775],[-75.16064155]
494,[-30.57288341],[31.99737604],[236.23560839]
494,[-12.15893251],[-8.41589305],[-74.99233048]
495,[-30.54221882],[31.7961566],[234.47963745]
495,[-12.21136675],[-8.44949726],[-74.62438691]
496,[-29.90512604],[31.04393103],[228.49120607]
496,[-12.25919709],[-8.45508193],[-74.11547796]
497,[-29.90636714],[31.04526474],[228.50048384]
497,[-12.29772056],[-8.45531821],[-73.458903]
498,[-29.9062259],[31.04512306],[228.4993883]
498,[-12.33126612],[-8.4058101],[-73.00297795]
499,[-30.37227339],[31.6079424],[232.07816721]
499,[-12.41652579],[-8.4132756],[-72.71613233]
500,[-30.78141233],[32.11372456],[235.32704148]
500,[-12.49345301],[-8.42828124],[-72.43160901]
501,[-30.71787464],[32.04255822],[234.83598428]
501,[-12.51102844],[-8.30676908],[-71.5291308]
502,[-30.71811859],[32.04298373],[234.83882006]
502,[-12.5922909],[-8.26633873],[-70.79540468]
503,[-30.71353722],[32.03772507],[234.80163532]
503,[-12.7342782],[-8.30246739],[-70.67147439]
504,[-4.06551959],[-3.02499777],[7.016247]
504,[-4.06551959],[-3.02499777],[7.016247]
505,[-30.40040727],[31.6609058],[232.27335709]
505,[-14.82135199],[-9.68917829],[-81.18123506]
506,[-30.02586236],[31.21546954],[229.26742921]
506,[-15.34409462],[-9.7408017],[-80.71103909]
507,[-30.25577803],[31.4235067],[230.89975174]
507,[-15.64380769],[-9.77780381],[-80.88337491]
508,[-30.35228255],[31.5107767],[231.57985967]
508,[-15.88788067],[-9.76847602],[-80.65660523]
509,[-30.37560993],[31.53572887],[231.75332107]
509,[-16.04485292],[-9.80162646],[-80.66002994]
510,[-30.36839428],[31.52913726],[231.69678383]
510,[-16.24758154],[-9.80553909],[-80.63683376]
511,[-30.38225584],[31.54405155],[231.80262474]
511,[-16.40180529],[-9.7760081],[-80.36697538]
512,[-30.38225584],[31.54405155],[231.80262474]
512,[-16.50077091],[-9.70276003],[-80.19102895]
513,[-30.07264321],[31.1557949],[228.92091041]
513,[-16.49855431],[-9.63968269],[-79.85266407]
514,[-30.07169423],[31.1547711],[228.91379639]
514,[-16.44626598],[-9.57765681],[-79.46800951]
515,[-30.07116332],[31.15417365],[228.90949685]
515,[-16.41096318],[-9.49120499],[-79.00203306]
516,[-30.07173604],[31.15494305],[228.91371307]
516,[-16.39709287],[-9.43986725],[-78.60125748]
517,[-30.07085029],[31.1539936],[228.90608877]
517,[-16.40034616],[-9.43259301],[-78.44787957]
518,[-29.43543211],[30.39240854],[223.79768479]
518,[-16.22371078],[-9.42771147],[-77.57595391]
519,[-29.78061151],[30.62910094],[225.71073287]
519,[-16.10662862],[-9.50944621],[-77.56808287]
520,[-30.76150586],[31.55837933],[232.71142533]
520,[-15.89772628],[-9.71433588],[-77.29588738]
521,[-18.28887871],[19.70048299],[149.1438728]
521,[-15.89637411],[-10.05919622],[-77.10266408]
522,[-18.34874872],[19.75470879],[149.67822606]
522,[-16.27529809],[-10.6301833],[-78.06547693]
523,[-18.33169684],[19.74420111],[149.53585756]
523,[-16.03381065],[-10.7597629],[-77.37862896]
524,[-18.2901546],[19.70936671],[149.2041014]
524,[-18.40195417],[-12.52769053],[-88.66590197]
525,[-18.31299039],[19.73511331],[149.39377737]
525,[-30.5948938],[-21.04575694],[-148.90207544]
526,[-18.29414806],[19.7134534],[149.23695005]
526,[-27.63136584],[-18.64224805],[-132.01417967]
527,[-18.28252476],[19.70412745],[149.14425951]
527,[-16.26306029],[-11.25567702],[-79.17977713]
528,[-18.28473779],[19.70608452],[149.1626726]
528,[-16.19862591],[-11.19118533],[-78.79832578]
529,[-18.16808237],[19.65094508],[148.74264469]
529,[-16.30398037],[-11.21112639],[-78.45011092]
530,[-18.31838282],[19.77551442],[149.6165828]
530,[-16.16159358],[-11.13788977],[-78.11337218]
531,[-18.31838038],[19.77551161],[149.61656059]
531,[-16.18958745],[-11.17099215],[-78.18785316]
532,[-18.26901778],[19.71633716],[149.25473377]
532,[-16.17119756],[-11.11902349],[-77.9439461]
533,[-18.20940861],[19.64559464],[148.82131257]
533,[-16.06376123],[-10.98512294],[-77.48867685]
534,[-18.20821857],[19.64448763],[148.81132435]
534,[-16.18372833],[-10.85291008],[-77.7066628]
535,[-18.20854537],[19.6445705],[148.81279695]
535,[-16.18709365],[-10.60636132],[-77.40969273]
536,[-18.17919607],[19.62469576],[148.67817193]
536,[-16.23425642],[-10.38701039],[-77.33311997]
537,[-30.22580936],[31.11026953],[229.75102405]
537,[-16.30643251],[-10.18501676],[-77.43343767]
538,[-30.28161848],[31.17674238],[230.33148433]
538,[-16.26547266],[-9.94493302],[-77.11927701]
539,[-30.36041084],[31.26272073],[231.09304427]
539,[-16.2671659],[-9.72424537],[-77.06046864]
540,[-30.59759436],[31.56619518],[233.3656023]
540,[-15.97759767],[-9.42570427],[-75.86864136]
541,[-30.46717645],[31.5369924],[233.14057133]
541,[-15.94819726],[-9.34076137],[-75.86343362]
542,[-30.45608936],[31.52602732],[233.05718923]
542,[-15.68821735],[-9.19643497],[-75.03953609]
